Luis Miguel Afonso Fernandes,SL Benfica,Portuguese Primeira Liga,1989-10-06,177.0,72.0,Portugal,23000000.0
Willian José da Silva,Real Sociedad,LaLiga,1991-11-23,189.0,93.0,Brazil,29000000.0
Andriy Yarmolenko,Borussia Dortmund,German Bundesliga,1989-10-23,190.0,83.0,Ukraine,23000000.0
Oliver Baumann,TSG 1899 Hoffenheim,German Bundesliga,1990-06-02,187.0,82.0,Germany,18000000.0
Víctor Ruíz Torre,Villarreal CF,LaLiga,1989-01-25,185.0,78.0,Spain,20000000.0
Xherdan Shaqiri,Stoke City,English Premier League,1991-10-10,169.0,72.0,Switzerland,26500000.0
Juan Cuadrado,Juventus,Italian Serie A,1988-05-26,179.0,71.0,Colombia,21500000.0
Douglas Costa de Souza,Juventus,Italian Serie A,1990-09-14,170.0,65.0,Brazil,24000000.0
Nathaniel Clyne,Liverpool,English Premier League,1991-04-05,175.0,67.0,England,22000000.0
Vicente Iborra de la Fuente,Leicester City,English Premier League,1988-01-16,190.0,91.0,Spain,17000000.0
Victor Wanyama,Tottenham Hotspur,English Premier League,1991-06-25,184.0,87.0,Kenya,23000000.0
Lars Stindl,Borussia Mönchengladbach,German Bundesliga,1988-08-26,181.0,80.0,Germany,23000000.0
Aaron Ramsey,Arsenal,English Premier League,1990-12-26,183.0,76.0,Wales,25500000.0
Wojciech Szczęsny,Juventus,Italian Serie A,1990-04-18,196.0,85.0,Poland,18000000.0
Gylfi Sigurðsson,Everton,English Premier League,1989-09-08,186.0,77.0,Iceland,23000000.0
Yacine Brahimi,FC Porto,Portuguese Primeira Liga,1990-02-08,175.0,66.0,Algeria,23000000.0
Marko Arnautović,West Ham United,English Premier League,1989-04-19,192.0,83.0,Austria,22500000.0
Jordan Henderson,Liverpool,English Premier League,1990-06-17,182.0,67.0,England,21500000.0
Max Kruse,SV Werder Bremen,German Bundesliga,1988-03-19,180.0,76.0,Germany,22000000.0
Orestis Karnezis,Watford,English Premier League,1985-07-11,190.0,81.0,Greece,13500000.0
Ljubomir Fejsa,SL Benfica,Portuguese Primeira Liga,1988-08-14,183.0,80.0,Serbia,18000000.0
Georginio Wijnaldum,Liverpool,English Premier League,1990-11-11,175.0,69.0,Netherlands,27000000.0
Federico Fazio,Roma,Italian Serie A,1987-03-17,195.0,85.0,Argentina,16500000.0
Olivier Giroud,Arsenal,English Premier League,1986-09-30,192.0,88.0,France,21500000.0
