'Clecildo Rafael Martins Ladislau','Vitoria de Guimaraes','Primeira Liga','1989-03-17',177.0,73.0,'Brazil',4099999.9999999995, '2018-01-01', '2020-01-01'
'André Alexandre Carreira Sousa','Belenenses','Primeira Liga','1990-07-09',181.0,78.0,'Portugal',4300000.0, '2018-01-01', '2020-01-01'
'Fábio José Ferreira Pacheco','Maritimo','Primeira Liga','1988-05-26',180.0,73.0,'Portugal',3100000.0, '2018-01-01', '2020-01-01'
'Mateus Galiano da Costa','Boavista','Primeira Liga','1984-06-19',176.0,75.0,'Angola',2400000.0, '2018-01-01', '2020-01-01'
'Idrissa Mandiang','Boavista','Primeira Liga','1984-12-27',189.0,80.0,'Senegal',2300000.0, '2018-01-01', '2020-01-01'
'Muriel Gustavo Becker','Belenenses','Primeira Liga','1987-02-14',190.0,78.0,'Brazil',2600000.0, '2018-01-01', '2020-01-01'
'João José Pereira da Costa','Vitoria de Setubal','Primeira Liga','1992-08-25',170.0,64.0,'Portugal',5500000.0, '2018-01-01', '2020-01-01'
'Ronei Gleison Rodrigues Reis','Belenenses','Primeira Liga','1991-06-26',171.0,67.0,'Brazil',4700000.0, '2018-01-01', '2020-01-01'
'Vitor Hugo Gomes da Silva','Aves','Primeira Liga','1987-12-25',183.0,81.0,'Portugal',3800000.0, '2018-01-01', '2020-01-01'
'David Martins Simão','Boavista','Primeira Liga','1990-05-15',183.0,74.0,'Portugal',4500000.0, '2018-01-01', '2020-01-01'
'Charles Marcelo da Silva','Maritimo','Primeira Liga','1994-02-04',186.0,84.0,'Brazil',4400000.0, '2018-01-01', '2020-01-01'
'Óscar Estupiñán','Vitoria de Guimaraes','Primeira Liga','1996-12-29',182.0,74.0,'Colombia',6000000.0, '2018-01-01', '2020-01-01'
'Alberto Bueno Calvo','Porto','Primeira Liga','1988-03-20',179.0,67.0,'Spain',3900000.0, '2018-01-01', '2020-01-01'
'Mauro Silva Sousa','Braga','Primeira Liga','1990-10-31',177.0,72.0,'Brazil',4000000.0, '2018-01-01', '2020-01-01'
'Hassan Yebda','Belenenses','Primeira Liga','1984-05-14',187.0,82.0,'Algeria',1600000.0, '2018-01-01', '2020-01-01'
'Fábio Miguel Santos Sturgeon','Vitoria de Guimaraes','Primeira Liga','1994-02-04',183.0,76.0,'Portugal',5000000.0, '2018-01-01', '2020-01-01'
'Rúben Rafael Sousa Ferreira','Desportivo das Chaves','Primeira Liga','1990-02-17',183.0,67.0,'Portugal',3700000.0, '2018-01-01', '2020-01-01'
'Peter Etebo','Feirense','Primeira Liga','1995-11-09',176.0,70.0,'Nigeria',6000000.0, '2018-01-01', '2020-01-01'
'Diogo António Cupido Gonçalves','Benfica','Primeira Liga','1997-02-06',177.0,71.0,'Portugal',7000000.0, '2018-01-01', '2020-01-01'
'Paulo Ricardo de Jesús Machado','Aves','Primeira Liga','1986-03-31',174.0,74.0,'Portugal',3400000.0, '2018-01-01', '2020-01-01'
'Patrick De Oliveira Vieira','Vitoria de Setubal','Primeira Liga','1991-01-22',173.0,76.0,'Brazil',3900000.0, '2018-01-01', '2020-01-01'
'Jacinto Muondo Dala','Sporting CP','Primeira Liga','1996-07-13',175.0,65.0,'Angola',7000000.0, '2018-01-01', '2020-01-01'
'Arnaldo Edi Lopes da Silva','Vitoria de Setubal','Primeira Liga','1982-07-07',182.0,75.0,'Portugal',2100000.0, '2018-01-01', '2020-01-01'
'Nuno André da Silva Coelho','Desportivo das Chaves','Primeira Liga','1986-01-07',192.0,82.0,'Portugal',2700000.0, '2018-01-01', '2020-01-01'
'Tobias Pereira Figueiredo','Sporting CP','Primeira Liga','1994-02-02',188.0,84.0,'Portugal',3600000.0, '2018-01-01', '2020-01-01'
